name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names,star_lum,hz_inner,hz_outer,unknown_distance,unknown_sma,unknown_radius,unknown_age,unknown_mag_v,unknown_teff
47 UMa b,Confirmed,,0.06,0.07,2.53,0.06,0.07,,,,1078.0,2.0,2.0,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,2024-07-20,334.0,23.0,23.0,2451917.0,76.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,47 UMa,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892.0,70.0,70.0,,,,1.669510033036238,1.2274904499894101,2.1577990015603317,False,False,True,False,False,False
55 Cnc Af,Confirmed,,0.0093,0.0219,0.1479,0.0093,0.0219,,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.102,,,,0.06329,2007,2024-06-19,139.0,8.0,8.0,2451878.0,5.0,5.0,,,,,,,,,,,,,,,,,,,4.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,rho1 Cnc Af,,55 Cnc A,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,10.2,2.5,2.5,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773",0.6347233834574313,0.7568605245157999,1.3304811325698798,False,False,True,False,False,False
82 Eri d,Confirmed,,0.00179,0.00179,0.01831,0.00179,0.00179,,,,647.6,2.7,2.5,1.354,0.007,0.007,0.45,0.1,0.1,,,,0.057739,2011,2024-11-04,252.0,44.0,48.0,2459933.0,17.0,22.0,,,,,,,,,,,,,,,,,,,0.57,0.07,0.07,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"e Eri d, HD 20794 d",,82 Eri,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139",0.662932189122927,0.7734961542783787,1.359724818573571,False,False,True,False,False,False
HD 99492 b,Confirmed,,0.0019,0.0019,0.0802,0.0019,0.0019,,,,17.0503,0.0016,0.0016,,,,0.034,0.025,0.025,,,,0.006844,2004,2024-08-14,154.3,49.0,49.0,2453776.317,3.39,3.39,,,,,,,,,,,,,,,,,,,7.05,0.18,0.18,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,83 Leo B b,,HD 99492,171.6916667,3.0061111,7.38,,,,,18.0,1.14,1.14,0.36,,,0.83,,,0.96,0.11,0.11,K2V,4.8,4.1,4.1,4740.0,,,,,83 Leo B,0.4191317330191903,0.6150336487134823,1.081164414054227,False,True,True,False,False,False
Kepler-1707 b,Confirmed,,0.1,0.4,0.5,0.1,0.4,,,,1.701531,0.000419,8e-06,,,,,,,,,,,2021,2024-05-30,,,,2456423.76,0.15,0.9,,,,,,,,,,,,,,,,,,,82.37,24.5,65.24,,,,,,,,,,Published in a refereed paper,Other,Radial Velocity,,KIC 5479689 b,,Kepler-1707,299.3256,40.63822,,,,,,,,,0.161,0.116,0.116,0.966,0.04,0.03,0.894,0.017,0.017,,,,,5459.0,85.0,90.0,,,KIC 5479689,0.6394728716411822,0.7596869530643309,1.3354496964394027,True,True,True,True,True,False
Kepler-1970 b,Confirmed,,0.4,0.4,2.1,0.4,0.4,,,,3.294601,0.00022,1.3e-05,,,,,,,,,,,2021,2022-09-24,,,,2456427.84,0.05,0.04,,,,,,,,,,,,,,,,,,,224.14,39.0,37.0,,,,,,,,,,Published in a refereed paper,Other,Radial Velocity,,KIC 8121913 b,,Kepler-1970,298.9678,43.909389,,,,,,,,,0.252,0.17,0.128,1.456,0.15,0.069,2.233,0.056,0.056,,,,,5975.3,110.0,110.0,,,KIC 8121913,5.726786797531417,2.273417050339005,3.9964278674380407,True,True,True,True,True,False
KOI-4878 b,Confirmed,,,,,,,0.0928,0.0125,0.0339,449.01499,0.02055,0.02055,1.137,,,0.0,,,89.95,,,,2017,2022-10-03,,,,,,,,,,2454977.707,0.0265,0.0265,,,,,,,0.2182,0.2181,0.2153,,,,,,,258.0,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,KOI-4878,286.22812,50.01358,,12.123,11.18,10.874,10.848,,,,-0.22,0.3,0.28,0.972,0.11,0.143,1.068,0.145,0.389,,,,,6031.0,168.0,143.0,,,2MASS J19045474+5000488,1.3595479507022499,1.1076967209072979,1.9472142357001974,True,False,False,True,True,False
mu Ara b,Confirmed,,,,1.676,,,,,,643.25,0.9,0.9,1.5,0.02,0.02,0.128,0.017,0.017,,,,0.098039,2000,2015-05-05,22.0,7.0,7.0,2452365.6,12.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 160691 b,,mu Ara,266.0333333,-51.8338889,5.15,,,,,15.3,,,0.28,0.04,0.04,1.08,0.05,0.05,1.245,0.255,0.255,G3 IV-V,6.41,,,5700.0,100.0,100.0,,,,1.47411999110993,1.1534267605603366,2.027602831721855,False,False,True,False,False,False
nu2 CMa b,Confirmed,,0.04,0.06,1.895,0.04,0.06,,,,736.9,1.0,14.8,1.761,0.01,0.024,0.055,0.03,0.03,,,,0.096203,2011,2024-05-28,116.4,71.0,5.0,2454093.0,34.0,34.0,,,,,,,,,,,,,,,,,,,35.1,0.9,1.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,"7 CMa b, HD 47205 b",,nu2 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792.0,100.0,100.0,,,7 CMa,2.5131454237645845,1.5060258115143768,2.6474348476094836,False,False,True,True,False,False
nu2 CMa c,Confirmed,,0.06,0.06,0.906,0.06,0.06,,,,988.9,52.0,1.5,2.143,0.08,0.003,0.046,0.04,0.05,,,,,2019,2024-05-28,226.6,40.0,7.7,,,,,,,,,,,,,,,,,,,,,,15.2,1.1,0.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Spectrum,,"7 CMa c, HD 47205 c",,nu2 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792.0,100.0,100.0,,,7 CMa,2.5131454237645845,1.5060258115143768,2.6474348476094836,False,False,True,True,False,False
OGLE-2016-BLG-0596L b,Confirmed,12.2,,,,,,,,,,,,,,,,,,,,,,2016,2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Microlensing,,,,,OGLE-2016-BLG-0596L,267.803375004,-30.8498333632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,True,True,True
pi Men d,Confirmed,,0.00425,0.00425,0.0421,0.00425,0.00425,,,,124.64,0.52,0.48,,,,0.22,0.08,0.08,,,,,2022,2022-03-03,323.0,73.0,25.0,,,,,,,,,,,,,,,,,,,,,,1.68,0.17,0.17,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,pi Men,84.2912083366,-80.4691111224,5.67,,,,,18.37,0.02,0.02,0.08,0.03,0.03,1.094,0.039,0.039,1.1,0.023,0.023,G0V,2.98,1.4,1.4,6037.0,45.0,45.0,,,HD 39091,1.4479874042731589,1.1431573086660147,2.009550216286573,False,True,True,False,False,False
